avg_income	median_age	median_networth
43976	45.2	94198
44787	49	105417
44218	43.5	79375
30089	41.3	16880
42382	41.3	87574
33357	41.4	13234
38521	39.3	18757
33805	36.3	15201
42092	39	71864
36301	45.4	57508
26387	47.6	46674
38488	49	34151
32165	37.8	15242
31552	44.4	16728
33866	41	18002
43406	44.8	73279
40658	41.1	66731
33368	43.5	22828
31459	35	28054
36547	41.6	77909
36458	37.7	45363
42072	38.6	68072
36717	42.4	16037
37889	48.1	53699
43417	51.9	102576
37111	46.4	52713
35515	45	76646
42452	44.7	77919
41668	41.1	43767
35006	40.1	42563
42525	47.9	78937
38522	41.4	27370
35058	44	51480
37205	46.6	88618
59895	51.1	202664
30256	43.9	15547
40618	54.9	23866
42192	52.5	87324
36152	41.6	55205
37445	43.4	54444
42711	44.2	104720
31655	37.4	13484
33633	36.5	14277
40584	36.7	38484
47227	39	79048
41420	32	24312
28112	37.1	12809
32763	47.4	13447
56021	48	196262
52502	40.1	130485
46753	41	79053
41683	43.5	66555
44796	38.7	80715
46564	40.6	66349
45898	37.3	103916
47050	37.7	73502
53122	39.6	118182
43456	37.6	80194
44518	39.4	80192
40826	40.2	59613
41554	33.6	52276
49613	37.2	84138
41224	41.8	59588
38329	41.8	63149
47064	39.8	99493
43411	38.3	87218
50744	40.8	112298
43908	45.2	98432
35714	33.9	14881
35805	38.3	38122
41298	38.4	75275
28179	42.4	22650
24793	44.3	21257
31478	49.5	53550
33598	47.4	33969
40653	54.8	117438
44543	44.9	118508
29977	43.6	31897
41571	45.6	100000
34407	44.2	13788
40805	42.8	91168
38810	41.8	76380
38855	45.6	110131
45920	42.3	96545
34015	41	50874
40270	45.3	93195
34273	43.4	41613
42957	47.1	124210
44779	42.6	111153
49607	45.5	80806
42555	42.3	54095
46707	42.2	25051
46637	42	88209
37618	33.3	13538
37049	44.3	36918
29933	46.8	27965
31957	39.8	22410
35327	41.9	20197
30891	47.4	28572
30318	36.6	18424
48346	40.9	81309
32870	41.4	17889
36522	46.5	75423
55411	41.8	104438
58364	42.6	155060
46989	45.8	60369
50292	39.9	51947
35785	37.2	14942
32625	41	36213
38796	37.5	32252
41163	44	92618
41685	43.8	61266
31747	37.2	14203
36105	50.1	30688
37249	45.2	23718
29272	41	13675
47915	42.5	152811
37682	41.4	105290
39208	44.2	95755
34879	46.1	62363
36142	44.3	56833
34082	43.4	62738
36040	43.8	79227
45481	44	100353
46239	40.5	88625
41594	40.2	71315
45751	42.9	80164
37511	42.3	13994
38592	44.8	84052
33236	43.1	42640
38293	43.6	63217
46025	37.7	88509
38977	40.1	51448
41799	43.7	85960
35511	42.9	52980
42782	40.4	68646
41029	46.3	71741
43429	44.2	105011
58390	45.8	136195
47263	42.9	72751
45836	46.7	92523
46326	40.8	49030
38477	40.3	55310
22547	33.3	10104
40010	49.3	89186
50355	48.4	68045
38613	43.7	53480
36823	45.8	56620
45812	46.3	109908
43997	44.2	117657
59901	44.2	192074
51237	43.7	145868
25636	39.9	11953
55107	39.5	100551
38264	30.4	13976
47076	40.9	107386
49699	38.2	71381
60103	41.3	111457
82432	39.5	309252
78630	42.4	365785
44822	32.1	23710
49946	27.9	21234
53614	29	33396
61042	30.7	67529
32819	35.9	12653
26980	45.2	11517
28674	31.4	10359
44915	37.6	55742
37828	40.9	40416
23720	35.8	10122
44727	46.1	81419
32224	39.3	13730
41722	44.5	46340
25811	41	11702
31642	37.4	12675
25187	41.9	12775
72145	47.6	361594
43895	43	124704
27450	40.8	12966
44812	43.6	128343
36060	37.5	26358
50918	43.4	108511
34979	44.2	53823
31917	41	12850
46618	45	103849
30164	44.3	11826
43024	46.3	57950
63728	38.3	124191
51912	44	106586
49793	37.2	53210
55933	45.5	101799
43394	45.7	90493
51275	44.3	193135
53744	48.3	168916
33967	38.8	68922
46086	44.4	124657
42829	42.7	79486
50572	41.7	130104
55390	50.3	186645
37075	45	78014
38935	44.1	85550
32961	45.2	33180
45785	44.2	93254
40762	41.3	80592
38015	40.5	65537
42083	50.1	75000
46999	43.8	109370
39112	43.6	51348
42091	40.7	65942
47888	50.4	138107
38654	43.1	49025
41720	47	83894
42529	46.5	87310
45492	41.9	35000
40585	45.7	101398
37054	45.5	39725
43198	47.8	111449
36367	46.2	51916
34893	46.7	40805
34768	46.3	37427
37805	38	14670
30130	42.8	13862
35563	44	35000
36248	51.4	57285
25934	30.5	11268
36968	45.9	36136
38908	44.2	52966
37238	46.2	37147
37396	40.9	24867
44224	47.7	109195
43071	43.8	62390
40628	43.5	76605
40045	49	46645
29272	43.9	30057
59084	54.9	163422
58669	52.4	164048
49830	53.2	134922
46595	44.8	109675
55019	41.3	110741
42925	40.9	92272
35100	46.6	61762
32523	41.3	45568
